2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
A/RES/77/313,A/RES/76/267,,,,,,,,,,,,,,,,,,,,
A/RES/78/135,A/RES/77/183,,,,,,,,,,,,,,,,,,,,
A/RES/78/150,A/RES/77/228,,,,,,,,,,,,,,,,,,,,
A/RES/78/165,A/RES/77/229,,,,,,,,,,,,,,,,,,,,
A/RES/78/192,A/RES/77/230,,,,,,,,,,,,,,,,,,,,
A/RES/78/20,A/RES/77/247,,,,,,,,,,,,,,,,,,,,
A/RES/78/21,A/RES/77/248,,,,,,,,,,,,,,,,,,,,
A/RES/78/220,A/RES/77/36,,,,,,,,,,,,,,,,,,,,
A/RES/78/221,A/RES/77/38,,,,,,,,,,,,,,,,,,,,
A/RES/78/222,A/RES/77/41,,,,,,,,,,,,,,,,,,,,
A/RES/78/230,A/RES/77/42,,,,,,,,,,,,,,,,,,,,
A/RES/78/238,A/RES/77/54,,,,,,,,,,,,,,,,,,,,
A/RES/78/73,A/RES/77/61,,,,,,,,,,,,,,,,,,,,
A/RES/78/76,A/RES/77/62,,,,,,,,,,,,,,,,,,,,
A/RES/78/78,A/RES/77/73,,,,,,,,,,,,,,,,,,,,
A/RES/ES-10/21,A/RES/77/76,,,,,,,,,,,,,,,,,,,,
A/RES/ES-10/22,A/RES/77/94,,,,,,,,,,,,,,,,,,,,
A/RES/ES-11/6,A/RES/ES-11/1,,,,,,,,,,,,,,,,,,,,
,A/RES/ES-11/2,,,,,,,,,,,,,,,,,,,,
,A/RES/ES-11/3,,,,,,,,,,,,,,,,,,,,
,A/RES/ES-11/4,,,,,,,,,,,,,,,,,,,,
